name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
SDH Mahendergarh,SDH Mahendergarh,Yes (17),17,0,0,4,20,0,0,5,Yes,Yes,Yes,Yes,Yes,2021-05-27 13:17,13
Shanti Hospital Narnaul,Shanti Hospital Narnaul,Yes (23),9,7,7,0,9,7,7,2,Yes,Yes,Yes,Yes,Yes,2021-05-31 11:31,13
Sheela Multi Superspeciality Hospital,Behind Bus Stand Mahindergarh,Yes (7),6,0,1,1,6,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-31 13:20,13
Shri Arvind Heart and Multispecialty Hospital,"Rao Tula Ram Chowk, Dadri Road Mahendergarh",Yes (17),9,5,3,3,9,5,3,3,Yes,Yes,Yes,Yes,Yes,2021-05-30 10:02,13
Tanwar Health Care MGarh,,Yes (9),5,0,4,1,5,0,4,1,Yes,Yes,Yes,Yes,Yes,2021-05-31 18:59,13
Vijay Hospital Narnaul,"HUDA Sector 1, Narnaul",Yes (17),7,0,10,2,8,0,15,2,Yes,Yes,Yes,Yes,Yes,2021-05-30 09:38,13
Civil Hospital Fatehabad,Near Bus Stand Fatehabad,Yes (26),12,0,14,0,20,0,26,6,Yes,Yes,Yes,Yes,Yes,2021-05-31 15:55,5
Civil Hospital Ratia,"Dera Surjanhar, Ratia, Fatehabad",Yes (3),0,0,3,3,5,0,13,3,Yes,Yes,Yes,Yes,Yes,2021-05-31 10:49,5
"Civil Hospital, Tohana",Opposite New Sabzi Mandi Tohana,Yes (19),8,3,8,0,10,3,14,2,Yes,Yes,Yes,Yes,Yes,2021-05-31 10:26,5
Community Health Center Bhattu,"Surya Nagar, Bhattu Mandi near Railway Station",Yes (11),4,2,5,0,4,2,6,0,Yes,Yes,Yes,Yes,Yes,2021-05-31 11:16,5
Community Health Center Bhuna,CHC Bhuna,Yes (25),13,12,0,0,16,14,0,0,Yes,No,Yes,No,Yes,2021-05-31 10:40,5
