name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
"Sanghi Nursing Home, Rohtak, Haryana","Chotu Ram Chowk, Civil Road, Arya Nagar, Rohtak, Haryana",Yes (11),7,0,4,4,10,0,4,4,Yes,Yes,Yes,Yes,Yes,2021-05-26 15:37,19
Shivam Liver &amp; Gastro Super Speciality Hospital,"CIVIL ROAD NEAR SHANT MAI CHOWK, Rohtak, Haryana - 124001, India",Yes (7),4,0,3,0,5,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-26 15:56,19
Sunflag Global Hospital,Bharat Colony Near Sheela Bye Pass,Yes (16),13,0,3,1,20,0,15,5,Yes,No,Yes,Yes,Yes,2021-05-26 16:11,19
Ch Lekh Raj Multispeciality Hospital,Vill Gadhauli Yamuna Nagar,Yes (143),134,0,9,5,140,0,10,5,Yes,Yes,Yes,Yes,Yes,2021-05-26 17:06,22
CHC Bilaspur,CHC Bilaspur,Yes (17),1,16,0,0,8,17,0,0,Yes,No,Yes,No,Yes,2021-05-26 17:02,22
CHC Chhachharuli,CHC Chhachharuli,Yes (17),5,12,0,0,10,20,0,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:03,22
CHC Naharpur,Naharpur Yamuna Nagar,Yes (10),10,0,0,0,10,0,0,0,Yes,No,No,No,Yes,2021-05-26 17:52,22
CHC Partap Nagar,CHC Partap Nagar,Yes (13),5,8,0,0,6,10,0,0,Yes,No,Yes,No,Yes,2021-05-26 17:03,22
CHC Radaur,Radaur Yamuna Nagar,Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:07,22
CHC Saraswati Nagar,CHC Saraswati Nagar,Yes (24),13,11,0,0,14,11,0,0,Yes,No,Yes,No,Yes,2021-05-26 17:03,22
DABRA HOSPITAL Yamunanagar,DABRA HOSPITAL,Yes (17),9,8,0,1,11,8,4,2,No,No,No,No,No,2021-05-26 17:03,22
ESI Hospital,"ESI Hospital, Jagadhri",Yes (16),16,0,0,0,40,0,18,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:01,22
Gaba Hospital,Gaba Hospital Yamunanagar,Yes (40),15,25,0,0,45,25,25,5,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-26 17:01,22
GULATI HOSPITAL,GULATI HOSPITAL,Yes (14),12,2,0,0,25,3,6,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:04,22
Heart Care Center Hospital,Near Lal Dwara Mandir Yamuna Nagar,Yes (17),2,2,13,5,2,2,15,7,Yes,No,Yes,Yes,Yes,2021-05-26 17:02,22
JP Hospital Pvt,"Jagadhri Rd, near Luxmi Theater, Vishwakarma Mohalla, Yamuna Nagar,HARAYANA Haryana",Yes (20),9,11,0,0,15,15,13,2,Yes,No,Yes,Yes,Yes,2021-05-26 17:01,22
KAPOOR HOSPITAL,"SH 6A Indira Colony Jagadhri, yamunanagart ,Haryana",Yes (6),2,0,4,0,4,0,8,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:06,22
KESHWANI HOSPITAL,"Jagadhri - Yamuna Nagar Rd, Tagore Garden, Yamuna Nagar, Haryana",Yes (3),3,0,0,0,10,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:08,22
Maxxwell Hospital,Jagadhari Yamuna Nagar,Yes (15),9,1,5,0,10,1,6,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:04,22
Mukand Lal District Civil Hospital Yamunanagar,Mukand Lal District Civil Hospital YNR,Yes (18),9,9,0,2,18,9,0,5,Yes,No,Yes,Yes,Yes,2021-05-26 17:04,22
NIRMAL HOSPITAL,"199, Radaur Rd, near nirmal hospital, camp, Garhi Gujran, Haryana",Yes (15),12,1,2,0,13,1,6,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:02,22
RK Gupta,opp DAV Sr Sec School Near Madhu Hotel YNR,Yes (7),6,1,0,0,15,2,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-26 17:07,22
SABBARWAL HOSPITAL,"Gulab Nagar, Jagadhri, Haryana",Yes (5),2,0,3,0,6,1,6,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:06,22
Sachdeva Hospital,"2227, Civil Lines Rd, Sri Nagar Colony, Civil Lines, Gomti Mohalla, Jagadhri, Haryana",Yes (24),14,8,2,0,16,8,4,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:08,22
Santosh Hospital,"Santosh Hospital  Kanhaiya Sahib Chowk, near Govt.School, Harbanspura Colony, Gobind Pura, Yamuna Nagar, Haryana",Yes (11),3,7,1,0,5,9,14,2,Yes,No,Yes,Yes,Yes,2021-05-26 17:00,22
SHARMA HOSPITAL,Near Agarsain Chowk Jagadhri,Yes (2),2,0,0,0,12,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:06,22
Shree Medical Care Hospital,"359/2, Jain nagar, Jagadhri, Haryana",Yes (8),8,0,0,0,15,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-26 17:08,22
Shureshtha Hospital,Model Colony YNR,Yes (1),0,0,1,0,9,1,2,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:07,22
SP Hospital Jag,S.P Hospital Jag,Yes (6),4,0,2,1,4,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-26 17:05,22
Swami Vivekanand Hospital Yamunanagar,"Swami Vivekanand Hospital,Yamuna Nagar, Haryana",Yes (27),15,9,3,1,20,10,19,1,Yes,No,Yes,Yes,Yes,2021-05-26 17:05,22
Swastik Hospital,"Basant Nagar, Yamuna Nagar, Haryana",Yes (5),3,2,0,0,4,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:09,22
tejli stadium,64 A Tejli,Yes (39),7,32,0,0,20,56,0,0,Yes,No,No,No,Yes,2021-05-26 17:05,22
VARDAAN HOSPITAL,OPP KOHLI HOSPITAL NEAR AGARSEN COLLEGE JAGADHRI,Yes (8),6,2,0,0,8,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-26 17:08,22
